,No,Comment,Class
10,11,"I hope everyone is in good spirits I&#39;m a hard working student who&#39;s also a passionate singer I look foward to the day when I can make my own music to share But for now I&#39;ve just been doing covers. Check out my channel, I&#39;ve done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn&#39;t to become famous but to  inspire FYI this isn&#39;t spamming, everyone has a right to freedom of speech. Thanks ",1
147,148,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
342,343,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,0
999,1000,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿,0
811,812,Check out this video on YouTube:﻿,1
344,345,Check out this video on YouTube:﻿,1
808,809,good party﻿,0
486,487,THIS IS SHIT AND SOOOOO AUTOTUNED﻿,0
536,537,Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1
348,349,"LMFAO - Party Rock Anthem ft. Lauren Bennett, Goo…: <a href=""https://youtu.be/KQ6zr6kCPj8"">https://youtu.be/KQ6zr6kCPj8</a>     <br />BOX MAN GOT SOME MOVES! :D HE MAKES MEH SMILE﻿",0
534,535,Katy Perry can't sing for shit. All i hear it autotune.﻿,0
135,136,Please visit this Website: oldchat.tk,1
309,310,"hey guys if you guys can please SUBSCRIBE to my channel ,i&#39;m a young rapper really dedicated i post a video everyday ,i post a verse (16 bars)(part of a song)everyday to improve i&#39;m doing this for 365 days ,right now i&#39;m on day 41  i&#39;m doing it for a whole year without missing one day if you guys can please SUBSCRIBE and follow me on my journey to my dream watch me improve, it really means a lot to me  thank you (:, i won&#39;t let you down i promise(: i&#39;m lyrical i keep it real!",1
367,368,Thumbs up if your watching in 2015﻿,1
549,550,Really good song .<br />you know love song song.﻿,0
731,732,Charlie from LOST﻿,0
772,773,Check out this video on YouTube:﻿,1
158,159,I love dis song!! 3,0
381,382,"check out ""starlitnightsky"" channel to see epic videos﻿",1
1127,1128,The TREU DETECTIVE alternate ending! __ http://www.funnyordie.com/videos/d15fb87973/true-defectives﻿,1
1183,1184,"Love these guys, love the song!﻿",0
682,683,katy perry  just stop it and dont do a song i dont like it﻿,0
1062,1063,"870,000,000 views...566,000 comments...oh my lanta﻿",0
809,810,Likeeee﻿,0
867,868,go here to check the views :3﻿,0
96,97,Shakira voice sound spanish but that is what make the music sound amazing ♥I LOVE IT,0
346,347,Love this soooooooooooooooooooooooooooooooooooooooooooooooooo much﻿,0
850,851,Pleas subscribe GamezZ MTA my channel<br />﻿,1
1117,1118,"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",1
439,440,Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,1
156,157,OMG LOVE THIS!,0
968,969,It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0
1119,1120,Party rock! XD﻿,0
705,706,i love Rihanna 😍😍😍😍[♧from Thailand♧]﻿,0
308,309,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the view disclose the macho lift? Why does the letter frame the thundering cause? Why does the talk prevent the conscious memory?",1
543,544,why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,0
394,395,Check out this video on YouTube:﻿,1
420,421,I love you Shakiria!!!!!!﻿,0
1115,1116,"Damn, this was everywhere﻿",0
894,895,Check out this playlist on YouTube:﻿,1
481,482,I love this shit but I disliked it because it's sucks﻿,0
377,378,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0
1147,1148,"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿",0
1132,1133,Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D﻿,1
979,980,I love katty perry﻿,0
610,611,Check out this video on YouTube:﻿,1
599,600,Not bad﻿,0
962,963,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,1
178,179,I remember this :D,0
1201,1202,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1
912,913,"The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:﻿",0
1006,1007,Please subscribe to me﻿,1
294,295,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?",1
573,574,"Don't mind me, I'm just checking what the views are up to : )﻿",0
1150,1151,Incmedia.org where the truth meets you.﻿,1
